selection1_name,selection1_phone,selection1_users_name,selection1_users_reviews,,,
Mean Sandwich,(206) 789-9999,"Ran L.
Seattle, WA","True to its name, this place serves up a mean sandwich! There are good restaurants, and then there are restaurants whose food is worthy of random cravings that could happen on any day at any time. Mean sandwich falls squarely in the latter category for me.
The Midnight At the Oasis, the falafel-based sandwich, is one of the best vegan sandwiches I've had anywhere. It simply can't be beet ;)
The chicken cutlet sandwich is SO delicious - it's the one I crave the most when I think of Mean Sandwich.
I've also had one bite of my friend's fish sandwich, which I found to be tasty with inventive flavors.
I'm not a huge fan of the potato skins and ins - I find them to be too crisp and browned for my tastes, but that won't keep me from coming back for the sandwiches (I do wish they offered an additional side dish option or two, though)!",,,
Mean Sandwich,(206) 789-9999,"Jean K.
San Francisco, CA","We snuck into Mean Sandwich just before they were going to close for Thanksgiving week. So lucky us. Unluckily they were doing a fried chicken pop-up that same day and it was bonkers inside with lots of people and orders backed up in the kitchen. They did offer to send our food to the brewery next door if we chose to wait there instead but we decided to walk around the neighborhood and come back.
We ordered the steak tartare club and a side of salt and pepper 'skins and ins. It took about 35 minutes for our food. The steak tartare is labor intensive so due to the rush they were batching them as orders came in I think.
Worth it though! What an incredible idea to substitute steak tartare in spicy yuzu mayo for the T in the BLT. And with chewy dense rye bread. The sandwich doesn't look like much but I recommend sharing if you want to include a generous helping of skins as well.
Speaking of which, why has no one else thought about deep frying potato skins? Wonderfully salty, peppery, crispy with yummy soft potato insides. Dangerously addictive and filling. Goes great with beer :-).
Definitely want to come back and try the Midnight at the Oasis next time we're in town.",,,
Mean Sandwich,(206) 789-9999,"Ahmed F.
Manhattan, NY","Such a great spot!
The burger here is smashed to perfection with very crispy sides and juicy throughout. I'm not a fan of mustard or raw onions on a burger but boy, do they go well with this burger at Mean Sandwich. I'm a fan!
The ""fries"" are not really fries but fried potatoes with skin. I suspect they're baked first and then fried later: Whatever they do with them, they're quite magical :) Crispy skins with the meaty center in that spud.
If you've been to any Fredy's Steakhouse chain location, this is an elevated version of that kind of a burger.
I had a chat with the staff present and they were really friendly and engaging in conversation.
Can't wait to be back for more!",,,
Mean Sandwich,(206) 789-9999,"Heather W.
San Diego, CA","Case of ordering wrong? Not sure. We actually made a u-turn to hit up this place to grab some lunch to go for our road trip up north. I always trust a local fav from yelp and the amount of patrons waiting for food further supported that. However, the combination of super long wait, high price and lackluster sandwiches have left me feeling a bit bitter abouts things.
I ordered the Buon Appetito (chicken cutlet sandwich) and the Jersey Sub (Italian sub) which are both $12. I thought it would be a quick process but the shop is small and it was very busy with orders going one at a time. It seemed like there was a combo of 4 or 5 people in the place ahead of me and who knows how many remote ordering. Pro tip (apparently) order ahead for pickup. I think my wait for 2 sandwiches was at least 25 mins.
Out of the 2, the Buon appetito was better, but still mediocre. But the Jersey was just plain bad. Whatever sub roll bread is used tasted like cheap white bread and was probably the primary reason it tasted badly... bread is important. It was just really plain tasting. I hate feeling so strongly on this but for nearly $30 for 2 sandwiches and being in a hurry, this visit was a big mistake and I should have just gotten sandwiches at Safeway for half the price.",,,
Mean Sandwich,(206) 789-9999,"Maddy L.
Chicago, IL","Yay I am a fan! The Mean Sandwich is right next to a brewery, so you can take your food and go over there! The time we waited took a while, but the food is fair priced and very good. I got the italian sandwich and my friend got the med - both very delicious. The potatoes are also very good (highly rec the buffalo ones!!)",,,
Mean Sandwich,(206) 789-9999,"Morgan J.
Seattle, WA","The buon appetito sandwich, which is a fried chicken sandwich, was lackluster IMO. There wasn't much flavor and there was way too much bread and not enough chicken. I asked for a side of pickles to jazz it up. The menu is heavy on meats, slaws, pickled stuff, and buffalo sauce, which is not my personal fave but many others will love.
On the bright side, this place is dog friendly with a huge patio out back including ping pong and cornhole! It would be a great place to go with a group of friends. We went at a weird time, like 4 pm on a Thursday, and there was no one else there!",,,
Mean Sandwich,(206) 789-9999,"Samer K.
Irvine, CA",The grub hub driver lied about picking up my order but I thought it was super thoughtful for the Mean Sandwich staff to contact me and let me know about this issue because I didn't know and just thought food was on the way. Great customer service,,,
Mean Sandwich,(206) 789-9999,"Vijay S.
Seattle, WA","Had a mean sandwich (corned beef, cabbage, mustard, mint and maple syrup) with falafel added - was such a great sandwich. They source their meats locally, make their own falafel (really good) and are just the type of place you would want to go to after a few brews (or even pick up a sandwich at lunch)
Highly recommend.",,,
Mean Sandwich,(206) 789-9999,"Alyssa M.
Seattle, WA","Love this place. Went for the first time today with my dog and the owner came out to the patio to say hi, give my dog (Scout) some love, and thank us for coming in. Really friendly guy, it's always nice to know the people behind a local businesses.
I had the falafel sandwich and it was bomb. The pickles on it had a great tang to balance out the falafel. It was definitely Scout-Approved and we will be back!",,,
Mean Sandwich,(206) 789-9999,"Maggie R.
Alexandria, VA","Oyster po'boy was amazing. I had it with a pilsner, which enhanced the experience. My family and I came here after visiting the Nordic Museum, and I'm glad we did. Initially we were going to go to the brewery next door after ordering sandwiches, but they were closed that day. Turns out that was OK, because we still got good beer with our sandwiches. The po'boy was slightly spicy, which I thought was delicious. It was a generous size, so I left feeling satisfied and refreshed. The space isn't exactly what I'd call ""comfortable,"" but that's OK because I was focused on the FOOD. Plus, they had puppy videos playing on the large TV in the corner. Who knew there was a channel dedicated to adorable pets? I couldn't help but smile and laugh.",,,
